Rowno,Count,Count,Row,Row,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,39,"1,3,4,5,7,10,12,14,15,16,17,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,45,46,48,49,51,52,54,55","1,3,4,5,7,10,12,14,15,16,17,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,45,46,48,49,51,52,54,55",1,3,4,5,7,10,12,14,15,16,17,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,41,45,46,48,49,51,52,54,55
41,34,34,"3,4,5,7,9,10,13,17,19,20,21,22,24,27,28,30,32,33,34,35,36,37,38,39,40,41,42,44,45,46,49,52,54,55,,,,,","3,4,5,7,9,10,13,17,19,20,21,22,24,27,28,30,32,33,34,35,36,37,38,39,40,41,42,44,45,46,49,52,54,55,,,,,",3,4,5,7,9,10,13,17,19,20,21,22,24,27,28,30,32,33,34,35,36,37,38,39,40,41,42,44,45,46,49,52,54,55,,,,,
33,28,28,"3,5,7,9,12,13,14,15,18,20,21,22,26,28,31,34,36,37,38,40,41,44,45,46,52,53,54,55,,,,,,,,,,,","3,5,7,9,12,13,14,15,18,20,21,22,26,28,31,34,36,37,38,40,41,44,45,46,52,53,54,55,,,,,,,,,,,",3,5,7,9,12,13,14,15,18,20,21,22,26,28,31,34,36,37,38,40,41,44,45,46,52,53,54,55,,,,,,,,,,,
36,26,26,"3,13,14,15,20,21,22,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,,51,53,54,,,,,,,,,,,,","3,13,14,15,20,21,22,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,,51,53,54,,,,,,,,,,,,",3,13,14,15,20,21,22,24,26,28,30,31,32,35,36,37,38,40,42,43,45,46,49,,51,53,54,,,,,,,,,,,,
38,27,27,"3,5,12,15,22,24,27,28,41,42,46,48,51,52,53,54,55,4,13,14,17,21,26,33,43,44,49,,,,,,,,,,,,","3,5,12,15,22,24,27,28,41,42,46,48,51,52,53,54,55,4,13,14,17,21,26,33,43,44,49,,,,,,,,,,,,",3,5,12,15,22,24,27,28,41,42,46,48,51,52,53,54,55,4,13,14,17,21,26,33,43,44,49,,,,,,,,,,,,
45,27,27,"3,4,5,7,12,14,15,17,19,20,21,22,26,27,28,30,32,35,37,38,42,43,44,49,52,54,55,,,,,,,,,,,,","3,4,5,7,12,14,15,17,19,20,21,22,26,27,28,30,32,35,37,38,42,43,44,49,52,54,55,,,,,,,,,,,,",3,4,5,7,12,14,15,17,19,20,21,22,26,27,28,30,32,35,37,38,42,43,44,49,52,54,55,,,,,,,,,,,,
24,26,26,"2,3,,12,13,14,16,19,21,24,26,28,31,34,35,36,37,40,41,42,43,46,49,51,53,54,55,,,,,,,,,,,,","2,3,,12,13,14,16,19,21,24,26,28,31,34,35,36,37,40,41,42,43,46,49,51,53,54,55,,,,,,,,,,,,",2,3,,12,13,14,16,19,21,24,26,28,31,34,35,36,37,40,41,42,43,46,49,51,53,54,55,,,,,,,,,,,,
6,25,25,"1,3,4,5,7,10,14,15,19,27,28,30,32,33,35,36,37,42,43,44,46,49,51,52,54,,,,,,,,,,,,,,","1,3,4,5,7,10,14,15,19,27,28,30,32,33,35,36,37,42,43,44,46,49,51,52,54,,,,,,,,,,,,,,",1,3,4,5,7,10,14,15,19,27,28,30,32,33,35,36,37,42,43,44,46,49,51,52,54,,,,,,,,,,,,,,
20,22,22,"1,3,4,5,7,10,13,15,18,19,22,28,30,32,33,37,42,43,44,49,52,55,,,,,,,,,,,,,,,,,","1,3,4,5,7,10,13,15,18,19,22,28,30,32,33,37,42,43,44,49,52,55,,,,,,,,,,,,,,,,,",1,3,4,5,7,10,13,15,18,19,22,28,30,32,33,37,42,43,44,49,52,55,,,,,,,,,,,,,,,,,
56,22,22,"4,7,13,17,19,20,21,22,26,30,33,37,38,39,40,41,42,43,44,46,49,54,,,,,,,,,,,,,,,,,","4,7,13,17,19,20,21,22,26,30,33,37,38,39,40,41,42,43,44,46,49,54,,,,,,,,,,,,,,,,,",4,7,13,17,19,20,21,22,26,30,33,37,38,39,40,41,42,43,44,46,49,54,,,,,,,,,,,,,,,,,
60,22,22,"4,5,10,14,16,17,21,22,24,28,30,34,37,38,40,42,43,44,46,49,51,52,,,,,,,,,,,,,,,,,","4,5,10,14,16,17,21,22,24,28,30,34,37,38,40,42,43,44,46,49,51,52,,,,,,,,,,,,,,,,,",4,5,10,14,16,17,21,22,24,28,30,34,37,38,40,42,43,44,46,49,51,52,,,,,,,,,,,,,,,,,
