Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
134,अनुभूति,11,"15,17,18,19,22,26,42,44,48,,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुभूति,0.6224489796,23.4042553191,76.5957446809
9,लतरों,11,"1,7,10,19,25,27,30,37,39,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6445578231,23.4042553191,76.5957446809
129,जलाश्य,11,"14,17,19,24,26,35,37,43,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6445578231,23.4042553191,76.5957446809
12,तुनक,10,"1,4,5,10,24,28,30,44,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",तुनक,0.6683673469,21.2765957447,78.7234042553
42,सुकुमार,10,"3,10,12,13,18,19,28,42,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सुकुमार,0.6683673469,21.2765957447,78.7234042553
59,एहतियात,10,"4,5,12,19,21,36,37,39,43,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",एहतियात,0.6683673469,21.2765957447,78.7234042553
69,काकली,10,"5,14,17,19,28,32,37,39,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6683673469,21.2765957447,78.7234042553
83,व्यस्तताएँ,10,"7,13,15,20,22,35,37,38,46,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",व्यस्तता,0.6683673469,21.2765957447,78.7234042553
15,ब्यौंड़े,9,"1,10,14,17,19,26,37,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.693877551,19.1489361702,80.8510638298
17,टिकोरे,9,"1,17,19,33,37,39,40,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",टिकोरा,0.693877551,19.1489361702,80.8510638298
50,नाममात्र,9,"3,12,14,20,22,24,35,38,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",नाममात्र,0.693877551,19.1489361702,80.8510638298
112,विश्वासपात्र,9,"12,19,20,22,24,37,43,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विश्वासपात्र,0.693877551,19.1489361702,80.8510638298
138,सर्वोत्कृष्ट,9,"15,21,24,33,40,43,51,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सर्वोत्कृष्ट,0.693877551,19.1489361702,80.8510638298
139,पद्मिनी,9,"15,19,20,21,28,31,35,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पद्मिनी,0.693877551,19.1489361702,80.8510638298
142,विघटन,9,"15,17,19,30,34,42,43,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विघटन,0.693877551,19.1489361702,80.8510638298
164,ऐंठनों,9,"19,26,32,33,37,40,42,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.693877551,19.1489361702,80.8510638298
66,खूँखार,8,"5,12,15,16,43,46,49,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",खूँखार,0.693877551,17.0212765957,82.9787234043
11,गिलट,8,"1,19,26,30,37,39,43,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",गिलट,0.7210884354,17.0212765957,82.9787234043
46,मुग्ध,8,"3,19,24,28,41,43,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मुग्ध,0.7210884354,17.0212765957,82.9787234043
61,चितेरे,8,"4,12,15,17,34,43,49,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",चितेरा,0.7210884354,17.0212765957,82.9787234043
111,जग्गन,8,"12,21,22,24,25,27,28,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.7210884354,17.0212765957,82.9787234043
23,विकल्प,7,"2,3,12,16,28,31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विकल्प,0.75,14.8936170213,85.1063829787
25,संयोजन,7,"2,19,20,26,38,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",संयोजन,0.75,14.8936170213,85.1063829787
29,कौड़ियों,7,"2,15,22,25,49,53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.75,14.8936170213,85.1063829787
35,संगठन,7,"3,15,22,27,33,46,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",संगठन,0.75,14.8936170213,85.1063829787
67,विचरण,7,"5,15,19,22,27,32,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विचरण,0.75,14.8936170213,85.1063829787
70,दूभर,7,"5,7,15,21,30,32,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दूभर,0.75,14.8936170213,85.1063829787
71,फुहारे,7,"5,17,37,39,40,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",फुहारा,0.75,14.8936170213,85.1063829787
80,पूंजी,7,"7,16,22,31,43,44,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पूंजी,0.75,14.8936170213,85.1063829787
