word,length,syllables,consonants,vowels,consonantconjuncts,count,senses,synonyms,hypernyms,hyponyms,authors,years,source
बच्चा,5,2,3,2,1,348,7,95,97,115,"Kunal Singh,Sudhakar Adeeb,Naresh Nadeem,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Ayodhya Singh Upadhayay Hariaudh,Yashwant Kothari,na,dada bhagvan","2010,2000,2012,1920,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2006,2003,2013,1988,1917,1899,na,2004,2008","story_na,wiki_animals,wiki_culture,wiki_education,wiki_parenting,story_bhandarkar oriental research institute,web_news"
गुलाब,5,2,3,2,0,139,2,7,18,9,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Devkinandan Khatri,Suraj Prakash,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Shrivastav,Yashpal Jain,Manisha Kulshreshth,Vibhooti Narayan Roy,na,dada bhagvan","2010,2000,2015,2012,1888,1949,1929,unk,2003,1988,na,2004,2009","story_na,wiki_festivals,wiki_food,wiki_nature,wiki_universe,story_bhandarkar oriental research institute,web_news"
विशेष,5,2,3,2,0,1554,2,4,22,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Sharatchandra Chattopadhyay,Mamta Kalia,Bhairav Prasad Gupt,Asgar Vajahat,Premchand,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Premchand Sahajvala,Anwar Suhail,Vibhooti Narayan Roy,Yashpal Jain,Jayshree Roy,Jainandan,Ravindra Kalia,unk,Yashwant Kothari,na,dada bhagvan","2010,2000,2015,2012,1920,2009,1952,unk,1936,1929,1932,2006,2003,2013,1926,1917,1983,na,2004,1997,2014,2007,2008","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_defence,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_ngo,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_technology,wiki_tourism,wiki_transport,wiki_universe,wiki_weather,wiki_wedding,story_bhandarkar oriental research institute,web_news"
फूल,3,1,2,1,0,320,11,55,56,336,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Sharatchandra Chattopadhyay,Suraj Prakash,Mamta Kalia,Bhairav Prasad Gupt,Asgar Vajahat,Premchand,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Vibhooti Narayan Roy,Santosh Chaube,A. Asafal,Santosh Shrivastav,Premchand Sahajvala,Ravindra Kalia,Manisha Kulshreshth,unk,Ayodhya Singh Upadhayay Hariaudh,Yashwant Kothari,na,dada bhagvan","2010,2000,2015,2012,1888,1920,2009,1952,unk,1936,1949,1929,1932,1998,2006,2003,2013,1926,1917,1899,1983,na,1997,2004","story_na,wiki_animals,wiki_art,wiki_books,wiki_cinema,wiki_culture,wiki_festivals,wiki_food,wiki_health,wiki_music,wiki_nature,wiki_religion,wiki_sports,wiki_weather,story_bhandarkar oriental research institute,web_news"
मेहँदी,6,3,3,3,0,17,4,16,17,0,"Sudhakar Adeeb,Naresh Nadeem,Santosh Chaube,Santosh Shrivastav,Kashinath Singh,Jayshree Roy,Ravindra Kalia,Jitendra Visaria,na","2000,2012,2006,2003,2008,unk,na","story_na,wiki_wedding,web_news"
खादी,4,2,2,2,0,20,1,3,14,0,"Sudhakar Adeeb,Mamta Kalia,Asgar Vajahat,Premchand,Tufail Chaturvedi,Vibhooti Narayan Roy,na","2000,2009,unk,1932,1998,2010,na","story_na,wiki_cinema,web_news"
प्यारा,6,3,3,3,1,46,1,7,6,0,"Sudhakar Adeeb,Devkinandan Khatri,Suraj Prakash,Premchand,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,Santosh Shrivastav,Premchand Sahajvala,Jainandan,Ravindra Kalia,na,dada bhagvan","2000,1888,1936,1929,1932,unk,2006,2003,2013,na,2004,2009,2007","story_na,wiki_books,story_bhandarkar oriental research institute,web_news"
जवाब,4,2,3,1,0,1431,3,4,38,3,"Kunal Singh,Sudhakar Adeeb,Mehrunisa Parvez,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,unk,Yashwant Kothari,na,dada bhagvan","2010,2000,1982,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,2008,1988,1917,na,2004,2011,2014","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_food,wiki_health,wiki_law,wiki_money,wiki_music,wiki_religion,wiki_sports,wiki_tourism,wiki_transport,wiki_wedding,story_bhandarkar oriental research institute,web_news"
ईश्वर,5,2,3,2,1,433,6,208,49,417,"Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Devkinandan Khatri,Premchand,Dharmveer Bharti,Jayshankar Prasad,Amrita Pritam,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Kashinath Singh,Jayshree Roy,Ravindra Kalia,Manisha Kulshreshth,Sharatchandra Chattopadhyay,unk,Vibhooti Narayan Roy,Jitendra Visaria,na,dada bhagvan","2000,2015,2012,1888,1928,1936,1949,1929,1932,unk,2006,2003,2008,1917,2010,na,2007","story_na,wiki_art,wiki_books,wiki_festivals,wiki_health,wiki_law,wiki_music,wiki_religion,wiki_science,story_bhandarkar oriental research institute,web_news"
आदमी,4,2,2,2,0,2142,5,117,56,712,"Kunal Singh,Sudhakar Adeeb,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,na,dada bhagvan","2010,2000,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,1926,2008,1988,1917,na,2004,1997,2011,2014,2007","story_na,wiki_animals,wiki_art,wiki_books,wiki_cinema,wiki_education,wiki_food,wiki_health,wiki_history,wiki_music,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_technology,story_bhandarkar oriental research institute,web_news"
दिखाई,5,2,2,3,0,1019,1,2,8,0,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Amrita Pritam,Tufail Chaturvedi,Suraj Prakash,Santosh Chaube,Santosh Shrivastav,Premchand Sahajvala,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,unk,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,2012,1888,1920,2009,1928,1952,unk,1983,1936,1949,1929,1932,2005,1998,2006,2003,2013,1926,2008,1988,1917,na,2004,2014,2007","story_na,wiki_animals,wiki_art,wiki_automobiles,wiki_books,wiki_cinema,wiki_culture,wiki_education,wiki_festivals,wiki_food,wiki_health,wiki_history,wiki_law,wiki_money,wiki_music,wiki_nature,wiki_parenting,wiki_politics,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,wiki_weather,story_bhandarkar oriental research institute,web_news"
मसाला,5,3,3,2,0,159,6,12,86,265,"Devkinandan Khatri,Mamta Kalia,Suraj Prakash,Tufail Chaturvedi,Premchand Sahajvala,Sharatchandra Chattopadhyay,Anwar Suhail,Ravindra Kalia,Vibhooti Narayan Roy,na","1888,2000,unk,2013,1926,1917,2010,na","story_na,wiki_cinema,wiki_festivals,wiki_food,wiki_religion,web_news"
आवाज,4,2,2,2,0,793,5,55,84,451,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Jayshree Roy,Devkinandan Khatri,Mamta Kalia,Sharatchandra Chattopadhyay,Suraj Prakash,Asgar Vajahat,Vibhooti Narayan Roy,Premchand,Dharmveer Bharti,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Anwar Suhail,Yashpal Jain,Kashinath Singh,Jainandan,Ravindra Kalia,Yashwant Kothari,Jitendra Visaria,na,dada bhagvan","2010,2000,2015,2012,1888,1920,unk,1983,1936,1949,1932,2005,1998,2006,2003,2013,1926,2009,2008,1988,1917,1952,na,2014","story_na,wiki_automobiles,wiki_books,wiki_cinema,wiki_education,wiki_health,wiki_music,wiki_nature,wiki_religion,wiki_science,wiki_sports,wiki_transport,story_bhandarkar oriental research institute,web_news"
सामान,5,2,3,2,0,719,2,24,6,158,"Kunal Singh,Sudhakar Adeeb,Usha Kiran Khan,Naresh Nadeem,Devkinandan Khatri,Mamta Kalia,Suraj Prakash,Premchand,Bhairav Prasad Gupt,Asgar Vajahat,Vibhooti Narayan Roy,Dharmveer Bharti,Jayshankar Prasad,Tufail Chaturvedi,Santosh Chaube,A. Asafal,Santosh Shrivastav,Kavita,Premchand Sahajvala,Sharatchandra Chattopadhyay,Anwar Suhail,Yashpal Jain,Jainandan,Ravindra Kalia,Manisha Kulshreshth,unk,Yashwant Kothari,na,dada bhagvan","2010,2000,2015,2012,1888,2009,1928,1952,unk,1983,1936,1949,1929,1932,1998,2006,2003,2013,1926,1988,1917,na,1997","story_na,wiki_animals,wiki_automobiles,wiki_culture,wiki_defence,wiki_festivals,wiki_food,wiki_history,wiki_money,wiki_nature,wiki_religion,wiki_science,wiki_sports,wiki_transport,wiki_universe,story_bhandarkar oriental research institute,web_news"
शिक्षक,6,2,4,2,1,192,3,23,22,61,"Kunal Singh,Sharatchandra Chattopadhyay,Mamta Kalia,Tufail Chaturvedi,Santosh Chaube,Kavita,Santosh Shrivastav,na,dada bhagvan","2010,1920,2009,unk,2006,2012,na,2011","story_na,wiki_education,wiki_music,wiki_science,wiki_sports,wiki_technology,story_bhandarkar oriental research institute,web_news"
