Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
40,बाधाहीन,13,"3a,12a,13a,19a,21a,22a,28a,34a,36a,37a,39a,43a,44a,,,,,,,,,,,,,,,,,,,,,,,,,,",बाधाहीन,0.6020408163,27.6595744681,72.3404255319
13,अंधड़,12,"1a,7a,17a,19a,21a,30a,33a,34a,36a,37a,44a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6224489796,25.5319148936,74.4680851064
26,वर्चस्व,12,"2a,7a,12a,19a,20a,21a,25a,30a,37a,38a,42a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,",वर्चस्व,0.6224489796,25.5319148936,74.4680851064
104,फौजदारी,12,"12a,13a,14a,19a,27a,30a,34a,36a,40a,42a,43a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,",फौजदारी,0.6224489796,25.5319148936,74.4680851064
113,अनुशासनात्मक,12,"12a,21a,24a,27a,35a,38a,40a,43a,49a,51a,53a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुशासनात्मक,0.6224489796,25.5319148936,74.4680851064
157,किवाड़,12,"17a,18a,19a,26a,28a,33a,42a,43a,44a,49a,51a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,",किवाड़,0.6224489796,25.5319148936,74.4680851064
134,अनुभूति,11,"15a,17a,18a,19a,22a,26a,42a,44a,48a,,52a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुभूति,0.6224489796,23.4042553191,76.5957446809
9,लतरों,11,"1a,7a,10a,19a,25a,27a,30a,37a,39a,42a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6445578231,23.4042553191,76.5957446809
129,जलाश्य,11,"14a,17a,19a,24a,26a,35a,37a,43a,49a,51a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6445578231,23.4042553191,76.5957446809
12,तुनक,10,"1a,4a,5a,10a,24a,28a,30a,44a,51a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",तुनक,0.6683673469,21.2765957447,78.7234042553
42,सुकुमार,10,"3a,10a,12a,13a,18a,19a,28a,42a,43a,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सुकुमार,0.6683673469,21.2765957447,78.7234042553
59,एहतियात,10,"4a,5a,12a,19a,21a,36a,37a,39a,43a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",एहतियात,0.6683673469,21.2765957447,78.7234042553
69,काकली,10,"5a,14a,17a,19a,28a,32a,37a,39a,40a,43a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.6683673469,21.2765957447,78.7234042553
83,व्यस्तताएँ,10,"7a,13a,15a,20a,22a,35a,37a,38a,46a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",व्यस्तता,0.6683673469,21.2765957447,78.7234042553
15,ब्यौंड़े,9,"1a,10a,14a,17a,19a,26a,37a,49a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.693877551,19.1489361702,80.8510638298
17,टिकोरे,9,"1a,17a,19a,33a,37a,39a,40a,44a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",टिकोरा,0.693877551,19.1489361702,80.8510638298
50,नाममात्र,9,"3a,12a,14a,20a,22a,24a,35a,38a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",नाममात्र,0.693877551,19.1489361702,80.8510638298
112,विश्वासपात्र,9,"12a,19a,20a,22a,24a,37a,43a,44a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विश्वासपात्र,0.693877551,19.1489361702,80.8510638298
138,सर्वोत्कृष्ट,9,"15a,21a,24a,33a,40a,43a,51a,52a,53a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सर्वोत्कृष्ट,0.693877551,19.1489361702,80.8510638298
139,पद्मिनी,9,"15a,19a,20a,21a,28a,31a,35a,36a,41a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पद्मिनी,0.693877551,19.1489361702,80.8510638298
142,विघटन,9,"15a,17a,19a,30a,34a,42a,43a,44a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विघटन,0.693877551,19.1489361702,80.8510638298
164,ऐंठनों,9,"19a,26a,32a,33a,37a,40a,42a,49a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.693877551,19.1489361702,80.8510638298
66,खूँखार,8,"5a,12a,15a,16a,43a,46a,49a,,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",खूँखार,0.693877551,17.0212765957,82.9787234043
11,गिलट,8,"1a,19a,26a,30a,37a,39a,43a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",गिलट,0.7210884354,17.0212765957,82.9787234043
46,मुग्ध,8,"3a,19a,24a,28a,41a,43a,44a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मुग्ध,0.7210884354,17.0212765957,82.9787234043
61,चितेरे,8,"4a,12a,15a,17a,34a,43a,49a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",चितेरा,0.7210884354,17.0212765957,82.9787234043
111,जग्गन,8,"12a,21a,22a,24a,25a,27a,28a,43a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.7210884354,17.0212765957,82.9787234043
23,विकल्प,7,"2a,3a,12a,16a,28a,31a,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विकल्प,0.75,14.8936170213,85.1063829787
25,संयोजन,7,"2a,19a,20a,26a,38a,43a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",संयोजन,0.75,14.8936170213,85.1063829787
29,कौड़ियों,7,"2a,15a,22a,25a,49a,53a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.75,14.8936170213,85.1063829787
35,संगठन,7,"3a,15a,22a,27a,33a,46a,48a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",संगठन,0.75,14.8936170213,85.1063829787
67,विचरण,7,"5a,15a,19a,22a,27a,32a,42a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विचरण,0.75,14.8936170213,85.1063829787
70,दूभर,7,"5a,7a,15a,21a,30a,32a,40a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दूभर,0.75,14.8936170213,85.1063829787
71,फुहारे,7,"5a,17a,37a,39a,40a,43a,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",फुहारा,0.75,14.8936170213,85.1063829787
80,पूंजी,7,"7a,16a,22a,31a,43a,44a,48a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पूंजी,0.75,14.8936170213,85.1063829787
91,नितान्त,7,"10a,15a,19a,22a,42a,43a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",नितान्त,0.75,14.8936170213,85.1063829787
146,व्याकुल,7,"16a,25a,41a,42a,44a,46a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",व्याकुल,0.75,14.8936170213,85.1063829787
167,प्रतिध्वनित,7,"19a,30a,34a,49a,51a,21a,40a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रतिध्वनित,0.75,14.8936170213,85.1063829787
174,इठलाने,7,"20a,,25a,26a,30a,38a,44a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.75,14.8936170213,85.1063829787
5,माफिक,6,"1a,12a,16a,24a,28a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",माफिक,0.7806122449,12.7659574468,87.2340425532
34,उपभोक्ता,6,"3a,7a,26a,28a,41a,54a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उपभोक्ता,0.7806122449,12.7659574468,87.2340425532
64,संचालित,6,"5a,12a,17a,31a,43a,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",संचालित,0.7806122449,12.7659574468,87.2340425532
68,छिटक,6,"5a,17a,28a,40a,46a,51a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.7806122449,12.7659574468,87.2340425532
78,अनुपम,6,"7a,12a,15a,22a,27a,28a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",अनुपम,0.7806122449,12.7659574468,87.2340425532
89,तरकारी,6,"9a,17a,30a,37a,41a,49a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",तरकारी,0.7806122449,12.7659574468,87.2340425532
94,प्रचार-प्रसार,6,"12a,14a,20a,25a,38a,44a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रचार-प्रसार,0.7806122449,12.7659574468,87.2340425532
133,उत्पाद,6,"15a,22a,28a,41a,43a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",उत्पाद,0.7806122449,12.7659574468,87.2340425532
145,गेसू,6,"16a,28a,30a,43a,49a,52a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.7806122449,12.7659574468,87.2340425532
163,रस्सियाँ,6,",19a,35a,55a,28a,35a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",रस्सी,0.7806122449,12.7659574468,87.2340425532
77,विज्ञापन,5,"7a,12a,15a,33a,46a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विज्ञापन,0.7806122449,10.6382978723,89.3617021277
31,गठन,5,"2a,17a,41a,54a,55a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",गठन,0.8129251701,10.6382978723,89.3617021277
37,चायखाने,5,"3a,28a,31a,32a,33a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.8129251701,10.6382978723,89.3617021277
