Rowno,Word,Count,Row,Root
688,रहस्यमय,2,"35,46",रहस्यमय
689,ह्रदय,1,35,
690,कतारे,1,41,कतारा
691,प्रसार,1,42,प्रसार
694,सन्नाटा,2,"45,48",सन्नाटा
703,विपण,1,50,
704,मदनजी,2,"50,52",
705,किनारा,1,51,किनारा
706,घुमेर,1,51,
727,बँधाये,1,54,
