Rowno,Count,Count,Row,Row,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,39,"1,2,7,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,,29,30,31,,33,34,35,38,39,40,41,42,43,44,46,47,48,49,52,53,54,55,,,,,","1,2,7,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,,29,30,31,,33,34,35,38,39,40,41,42,43,44,46,47,48,49,52,53,54,55,,,,,",1,2,7,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,,29,30,31,,33,34,35,38,39,40,41,42,43,44,46,47,48,49,52,53,54,55
40,33,33,"4,5,7,8,11,12,15,17,18,19,20,21,24,25,26,27,29,30,33,34,36,39,40,41,43,44,47,48,50,52,53,54,55,,,,,,,,,,,,,","4,5,7,8,11,12,15,17,18,19,20,21,24,25,26,27,29,30,33,34,36,39,40,41,43,44,47,48,50,52,53,54,55,,,,,,,,,,,,,",4,5,7,8,11,12,15,17,18,19,20,21,24,25,26,27,29,30,33,34,36,39,40,41,43,44,47,48,50,52,53,54,55,,,,,,,,
3,31,31,"2,3,4,8,11,13,14,15,16,17,18,19,21,22,23,24,25,,29,30,31,,34,35,40,41,42,43,44,49,50,,52,53,,,,,,,,,,,,","2,3,4,8,11,13,14,15,16,17,18,19,21,22,23,24,25,,29,30,31,,34,35,40,41,42,43,44,49,50,,52,53,,,,,,,,,,,,",2,3,4,8,11,13,14,15,16,17,18,19,21,22,23,24,25,,29,30,31,,34,35,40,41,42,43,44,49,50,,52,53,,,,,,,
19,31,31,"3,7,11,12,14,15,16,17,18,19,21,24,25,26,27,,31,33,34,36,38,39,40,41,45,46,47,49,52,53,54,55,,,,,,,,,,,,,,","3,7,11,12,14,15,16,17,18,19,21,24,25,26,27,,31,33,34,36,38,39,40,41,45,46,47,49,52,53,54,55,,,,,,,,,,,,,,",3,7,11,12,14,15,16,17,18,19,21,24,25,26,27,,31,33,34,36,38,39,40,41,45,46,47,49,52,53,54,55,,,,,,,,,
7,27,27,"3,4,7,11,12,15,17,20,24,25,26,27,29,31,,33,34,35,39,40,45,46,47,50,,52,53,54,55,,,,,,,,,,,,,,,,,","3,4,7,11,12,15,17,20,24,25,26,27,29,31,,33,34,35,39,40,45,46,47,50,,52,53,54,55,,,,,,,,,,,,,,,,,",3,4,7,11,12,15,17,20,24,25,26,27,29,31,,33,34,35,39,40,45,46,47,50,,52,53,54,55,,,,,,,,,,,,
13,28,28,"3,5,6,7,11,12,14,15,17,20,24,27,,29,30,38,39,40,41,43,44,45,46,47,48,50,52,53,55,,,,,,,,,,,,,,,,,","3,5,6,7,11,12,14,15,17,20,24,27,,29,30,38,39,40,41,43,44,45,46,47,48,50,52,53,55,,,,,,,,,,,,,,,,,",3,5,6,7,11,12,14,15,17,20,24,27,,29,30,38,39,40,41,43,44,45,46,47,48,50,52,53,55,,,,,,,,,,,,
33,28,28,"4,7,11,12,17,19,24,25,26,27,,30,31,,33,35,36,38,39,40,43,45,46,47,48,50,52,53,54,55,,,,,,,,,,,,,,,,","4,7,11,12,17,19,24,25,26,27,,30,31,,33,35,36,38,39,40,43,45,46,47,48,50,52,53,54,55,,,,,,,,,,,,,,,,",4,7,11,12,17,19,24,25,26,27,,30,31,,33,35,36,38,39,40,43,45,46,47,48,50,52,53,54,55,,,,,,,,,,,
5,27,27,"2,3,4,7,8,11,12,14,15,18,19,21,23,24,,29,31,,38,39,41,42,43,44,45,49,50,52,53,,,,,,,,,,,,,,,,,","2,3,4,7,8,11,12,14,15,18,19,21,23,24,,29,31,,38,39,41,42,43,44,45,49,50,52,53,,,,,,,,,,,,,,,,,",2,3,4,7,8,11,12,14,15,18,19,21,23,24,,29,31,,38,39,41,42,43,44,45,49,50,52,53,,,,,,,,,,,,
14,27,27,"3,7,10,11,12,13,14,15,17,19,20,21,26,27,30,34,35,38,39,40,41,43,45,49,50,53,54,,,,,,,,,,,,,,,,,,,","3,7,10,11,12,13,14,15,17,19,20,21,26,27,30,34,35,38,39,40,41,43,45,49,50,53,54,,,,,,,,,,,,,,,,,,,",3,7,10,11,12,13,14,15,17,19,20,21,26,27,30,34,35,38,39,40,41,43,45,49,50,53,54,,,,,,,,,,,,,,
20,26,26,"3,4,5,7,14,16,18,20,22,23,25,27,,30,33,35,36,41,42,45,47,48,50,52,53,54,55,,,,,,,,,,,,,,,,,,,","3,4,5,7,14,16,18,20,22,23,25,27,,30,33,35,36,41,42,45,47,48,50,52,53,54,55,,,,,,,,,,,,,,,,,,,",3,4,5,7,14,16,18,20,22,23,25,27,,30,33,35,36,41,42,45,47,48,50,52,53,54,55,,,,,,,,,,,,,,
